sample,cuda_ms,wall_ms,kind,phase,group,layout,host,weight_bytes,pinned_source_live_bytes,q,past,batch,semantic
40,0.1284160017967224,0.13742595911026,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
41,0.12377600371837616,0.13248715549707413,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
42,0.12297599762678146,0.13143988326191902,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
43,0.12185599654912949,0.13046106323599815,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
44,0.1233920007944107,0.13217702507972717,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
45,0.13436800241470337,0.14316290616989136,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
46,0.15081599354743958,0.15939213335514069,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
47,0.12678399682044983,0.13564107939600945,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
48,0.12467200309038162,0.13325922191143036,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
49,0.12486399710178375,0.13371603563427925,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
50,0.12460800260305405,0.13366015627980232,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
51,0.12508800625801086,0.13377005234360695,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
52,0.12230399996042252,0.13115396723151207,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
53,0.1276800036430359,0.13626925647258759,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
54,0.1252480000257492,0.13376493006944656,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
55,0.12211199849843979,0.13067107647657394,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
56,0.1252799928188324,0.13447413221001625,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
57,0.12508800625801086,0.13373279944062233,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
58,0.12483199685811996,0.13364432379603386,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
59,0.12505599856376648,0.13367878273129463,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
60,0.12617599964141846,0.13492396101355553,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
61,0.12492799758911133,0.13366993516683578,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
62,0.12518399953842163,0.13373978435993195,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
63,0.12495999783277512,0.13373000547289848,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
64,0.12614400684833527,0.13487506657838821,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
65,0.12595200538635254,0.13459939509630203,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
66,0.12403199821710587,0.13272790238261223,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
67,0.12486399710178375,0.13342173770070076,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
68,0.12860800325870514,0.13705110177397728,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
69,0.12703999876976013,0.13569137081503868,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
70,0.12624000012874603,0.13565365225076675,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
71,0.12495999783277512,0.1338520087301731,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
72,0.12646399438381195,0.1354510895907879,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
73,0.12591999769210815,0.13454491272568703,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
74,0.12390399724245071,0.13257935643196106,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
75,0.14959999918937683,0.1581711694598198,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
76,0.14800000190734863,0.1566922292113304,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
77,0.13792000710964203,0.14679832383990288,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
78,0.13571199774742126,0.14476804062724113,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
79,0.12479999661445618,0.1333639957010746,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
80,0.1260800063610077,0.1347661018371582,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
81,0.12515200674533844,0.13380823656916618,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
82,0.12515200674533844,0.13379286974668503,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
83,0.1228799968957901,0.1314510591328144,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
84,0.12310399860143661,0.13150926679372787,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
85,0.12316799908876419,0.13190088793635368,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
86,0.12457600235939026,0.13293838128447533,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
87,0.1244800016283989,0.13289181515574455,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
88,0.12319999933242798,0.13179006054997444,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
89,0.12476799637079239,0.1333155669271946,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
90,0.12428800016641617,0.13268180191516876,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
91,0.1247360035777092,0.1332671381533146,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
92,0.12291199713945389,0.13132812455296516,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
93,0.1255359947681427,0.1340070739388466,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
94,0.1260479986667633,0.13477308675646782,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
95,0.12415999919176102,0.13277586549520493,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
96,0.12361600250005722,0.13206806033849716,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
97,0.12880000472068787,0.13736402615904808,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
98,0.1226240023970604,0.13116421177983284,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
99,0.1247360035777092,0.13335933908820152,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
100,0.12505599856376648,0.1335260458290577,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
101,0.12511999905109406,0.13361917808651924,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
102,0.12678399682044983,0.13520289212465286,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
103,0.12531200051307678,0.13378402218222618,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
104,0.12748800218105316,0.1358240842819214,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
105,0.12511999905109406,0.13380590826272964,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
106,0.12291199713945389,0.13148505240678787,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
107,0.1255359947681427,0.13391859829425812,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
108,0.1252799928188324,0.13377517461776733,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
109,0.12521600723266602,0.1336643472313881,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
110,0.12451200187206268,0.13287784531712532,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
