node,model,dtype,blocks,first_layer,batch,query_len,past_len,semantic,weight_bytes,pinned_weight_live_bytes,two_weight_slots_bytes,h2d_cuda_p50_ms,h2d_wall_p50_ms,compute_cuda_p50_ms,compute_wall_p50_ms,h2d_GBps,copy_slowdown,compute_slowdown,overlap_speedup,gpu_allocated_peak_bytes,gpu_reserved_peak_bytes,rss_sampled_peak_bytes
A,facebook/opt-125m,float16,2,0,4,1,32,decode_real_history,28351488,28351488,56702976,2.2366719245910645,2.2444440983235836,0.23731200397014618,0.24664471857249737,12.675747251212787,1.0043135895499145,1.0031688011463706,1.0638906379669937,113935360,297795584,2270846976
A,facebook/opt-125m,float16,2,0,1,1,256,decode_real_history,28351488,28351488,56702976,2.2366719245910645,2.2444440983235836,0.2335679978132248,0.24306681007146835,12.675747251212787,1.0041275808572858,1.0680915281224905,1.0840423336159526,180023296,320864256,2270846976
A,facebook/opt-125m,float16,2,0,4,1,256,decode_real_history,28351488,28351488,56702976,2.2366719245910645,2.2444440983235836,0.23887999355793,0.24842284619808197,12.675747251212787,1.0047642209241765,1.0044206321952547,1.0772739429581617,146433024,320864256,2270846976
A,facebook/opt-125m,float16,4,0,1,16,0,short_prefill_proxy,56702976,56702976,113405952,4.469856023788452,4.47822199203074,0.4720959961414337,0.48165861517190933,12.685638127543326,1.0057881041298682,1.054700729686477,1.0848549115539075,187357184,297795584,2276368384
A,facebook/opt-125m,float16,4,0,4,16,0,short_prefill_proxy,56702976,56702976,113405952,4.469856023788452,4.47822199203074,0.510208010673523,0.5195653066039085,12.685638127543326,1.0062677302860288,1.0730368568681534,1.1037154009083388,188609024,299892736,2278801408
A,facebook/opt-125m,float16,4,0,1,32,0,short_prefill_proxy,56702976,56702976,113405952,4.469856023788452,4.47822199203074,0.4792320132255554,0.4888242110610008,12.685638127543326,1.00600290111951,1.0612312860198758,1.0884133531204283,187773440,299892736,2278801408
A,facebook/opt-125m,float16,4,0,4,32,0,short_prefill_proxy,56702976,56702976,113405952,4.469856023788452,4.47822199203074,0.6381120085716248,0.6481660529971123,12.685638127543326,1.0071268115661804,1.1342961903718407,1.1375969476890038,190280192,301989888,2278801408
A,facebook/opt-125m,float16,4,0,1,64,0,short_prefill_proxy,56702976,56702976,113405952,4.469856023788452,4.47822199203074,0.47417598962783813,0.48377737402915955,12.685638127543326,1.0056448883570377,1.074942683247368,1.0975305672157443,188609024,301989888,2278801408
A,facebook/opt-125m,float16,4,0,4,64,0,short_prefill_proxy,56702976,56702976,113405952,4.469856023788452,4.47822199203074,0.7639999985694885,0.7733977399766445,12.685638127543326,1.0071518809938267,1.067979097493617,1.1703908226766053,193622528,304087040,2278801408
A,facebook/opt-125m,float16,4,0,1,128,0,short_prefill_proxy,56702976,56702976,113405952,4.469856023788452,4.47822199203074,0.5963839888572693,0.6062863394618034,12.685638127543326,1.0066543328638593,1.1361271112169178,1.1264566596274819,319514112,442499072,2278801408
A,facebook/opt-125m,float16,4,0,4,128,0,short_prefill_proxy,56702976,56702976,113405952,4.469856023788452,4.47822199203074,1.4581760168075562,1.468384638428688,12.685638127543326,1.0072736010659307,1.0309866680749868,1.3211896013910156,208909824,450887680,2278801408
A,facebook/opt-125m,float16,4,0,1,256,0,short_prefill_proxy,56702976,56702976,113405952,4.469856023788452,4.47822199203074,0.7694559991359711,0.7793649565428495,12.685638127543326,1.0068799043734684,1.0842153343440495,1.1757528238085775,203061760,450887680,2278801408
A,facebook/opt-125m,float16,4,0,4,256,0,short_prefill_proxy,56702976,56702976,113405952,4.469856023788452,4.47822199203074,2.391200065612793,2.4014231748878956,12.685638127543326,1.007692420525247,1.0063901003248443,1.524397149588961,227769856,492830720,2278801408
A,facebook/opt-125m,float16,4,0,1,1,32,decode_real_history,56702976,56702976,113405952,4.469856023788452,4.47822199203074,0.4329279959201813,0.44248090125620365,12.685638127543326,1.0038622920337628,1.0450513962163204,1.0802207874971415,196304384,492830720,2278801408
A,facebook/opt-125m,float16,4,0,4,1,32,decode_real_history,56702976,56702976,113405952,4.469856023788452,4.47822199203074,0.45558398962020874,0.4651211202144623,12.685638127543326,1.0054086490058771,1.0473063078609592,1.0809721707103834,198843392,492830720,2278801408
A,facebook/opt-125m,float16,4,0,1,1,256,decode_real_history,56702976,56702976,113405952,4.469856023788452,4.47822199203074,0.4334399998188019,0.4427931271493435,12.685638127543326,1.004571063426452,1.0583979133973829,1.0826365626314927,326084608,517996544,2278801408
A,facebook/opt-125m,float16,4,0,4,1,256,decode_real_history,56702976,56702976,113405952,4.469856023788452,4.47822199203074,0.45283201336860657,0.46229828149080276,12.685638127543326,1.0054587878611698,1.0849762884924112,1.090099133024028,236839936,517996544,2278801408
A,facebook/opt-125m,float16,8,0,1,16,0,short_prefill_proxy,113405952,113405952,226811904,8.914719581604004,8.931046817451715,0.9182400107383728,0.9278901852667332,12.72120238465147,1.004820833566455,1.0164139962640641,1.0837457257383858,332023808,465567744,2329538560
A,facebook/opt-125m,float16,8,0,4,16,0,short_prefill_proxy,113405952,113405952,226811904,8.914719581604004,8.931046817451715,1.0033600330352783,1.013060100376606,12.72120238465147,1.0062638529162224,1.046467811853302,1.1022814808967276,333865472,467664896,2329538560
A,facebook/opt-125m,float16,8,0,1,32,0,short_prefill_proxy,113405952,113405952,226811904,8.914719581604004,8.931046817451715,0.9307519793510437,0.9403722360730171,12.72120238465147,1.0053412790506733,1.012583389490406,1.0888577554115215,332636672,467664896,2329538560
A,facebook/opt-125m,float16,8,0,4,32,0,short_prefill_proxy,113405952,113405952,226811904,8.914719581604004,8.931046817451715,1.2559360265731812,1.2659369967877865,12.72120238465147,1.0061632940765173,1.1336883533900208,1.138014122910387,336323072,469762048,2329538560
A,facebook/opt-125m,float16,8,0,1,64,0,short_prefill_proxy,113405952,113405952,226811904,8.914719581604004,8.931046817451715,0.9226720035076141,0.9325540158897638,12.72120238465147,1.0048100288400612,1.0411847517428685,1.096492099644718,333865472,469762048,2329538560
A,facebook/opt-125m,float16,8,0,4,64,0,short_prefill_proxy,113405952,113405952,226811904,8.914719581604004,8.931046817451715,1.5174239873886108,1.5278563369065523,12.72120238465147,1.0059444181339254,1.05256273531266,1.1708223328012886,341238272,476053504,2329538560
A,facebook/opt-125m,float16,8,0,1,128,0,short_prefill_proxy,113405952,113405952,226811904,8.914719581604004,8.931046817451715,1.1701120138168335,1.1805519461631775,12.72120238465147,1.0056500160840656,1.1309960225603888,1.1278577092889817,586040832,744488960,2329538560
A,facebook/opt-125m,float16,8,0,4,128,0,short_prefill_proxy,113405952,113405952,226811904,8.914719581604004,8.931046817451715,2.91484797000885,2.925281412899494,12.72120238465147,1.0060053953026826,1.0172029817209296,1.3230968468755389,359671296,757071872,2329538560
A,facebook/opt-125m,float16,8,0,1,256,0,short_prefill_proxy,113405952,113405952,226811904,8.914719581604004,8.931046817451715,1.5260800123214722,1.5365325380116701,12.72120238465147,1.0052264922049248,1.075529420458413,1.1763147763147763,350677504,757071872,2329538560
