run,direction,case,model,batch,q,hidden,mode,bytes,dtype,sample,phase,e2e_ack_ms,d2h_cuda_ms,d2h_host_ms,h2d_cuda_ms,h2d_host_ms,network_host_ack_residual_ms,receiver_receive_host_ms,correct,sender_origin,receiver_origin,sender_completion_relative_ms,receiver_staging_start_relative_ms,receiver_completion_relative_ms
experiments/inferrelay_two_node/results/t1-pilot-03,B-A,1,opt-125m,1,1,768,gpu,1536,float16,3,warmup,0.40363287925720215,0.03763199970126152,0.08864617347717285,0.009247999638319016,0.026914119720458984,0.2880725860595703,0.3557438850402832,True,local before background launch and D2H,local after ready ACK,0.40363287925720215,0.36655521392822266,0.39699697494506836
experiments/inferrelay_two_node/results/t1-pilot-03,B-A,1,opt-125m,1,1,768,gpu,1536,float16,4,steady,0.5868690013885498,0.05846399813890457,0.15072894096374512,0.008191999979317188,0.024236679077148438,0.41190338134765625,0.5493087768554688,True,local before background launch and D2H,local after ready ACK,0.5868690013885498,0.557640552520752,0.584907054901123
experiments/inferrelay_two_node/results/t1-pilot-03,B-A,1,opt-125m,1,1,768,gpu,1536,float16,5,steady,0.2849299907684326,0.03516799956560135,0.08115506172180176,0.006976000033318996,0.022705078125,0.18106985092163086,0.24666833877563477,True,local before background launch and D2H,local after ready ACK,0.2849299907684326,0.254730224609375,0.28036928176879883
experiments/inferrelay_two_node/results/t1-pilot-03,B-A,1,opt-125m,1,1,768,gpu,1536,float16,6,steady,0.21340608596801758,0.018112000077962875,0.05082821846008301,0.007327999919652939,0.02296590805053711,0.13961195945739746,0.1778087615966797,True,local before background launch and D2H,local after ready ACK,0.21340608596801758,0.18538570404052734,0.2113966941833496
experiments/inferrelay_two_node/results/t1-pilot-03,B-A,2,opt-125m,1,1,768,gpu_h2d,1536,float16,0,first_transfer,1.3157320022583008,0.018239999189972878,0.04694223403930664,0.607807993888855,0.7572779655456543,0.5115118026733398,0.5965642929077148,True,local before background launch and D2H,local after ready ACK,1.3157320022583008,0.656282901763916,1.4246459007263184
experiments/inferrelay_two_node/results/t1-pilot-03,B-A,2,opt-125m,1,1,768,gpu_h2d,1536,float16,1,warmup,1.351494312286377,0.015647999942302704,0.039157867431640625,0.0014400000218302011,0.9506731033325195,0.3616633415222168,0.39418458938598633,True,local before background launch and D2H,local after ready ACK,1.351494312286377,0.4260730743408203,1.387876033782959
experiments/inferrelay_two_node/results/t1-pilot-03,B-A,2,opt-125m,1,1,768,gpu_h2d,1536,float16,2,warmup,1.3773927688598633,0.02396799996495247,0.0479121208190918,0.001567999948747456,0.9740867614746094,0.3553938865661621,0.373018741607666,True,local before background launch and D2H,local after ready ACK,1.3773927688598633,0.40479516983032227,1.390078067779541
experiments/inferrelay_two_node/results/t1-pilot-03,B-A,2,opt-125m,1,1,768,gpu_h2d,1536,float16,3,warmup,1.3091239929199219,0.027135999873280525,0.050282955169677734,0.0014400000218302011,0.7557859420776367,0.5030550956726074,0.5229172706604004,True,local before background launch and D2H,local after ready ACK,1.3091239929199219,0.5551018714904785,1.322047233581543
experiments/inferrelay_two_node/results/t1-pilot-03,B-A,2,opt-125m,1,1,768,gpu_h2d,1536,float16,4,steady,1.3325819969177246,0.025536000728607178,0.048596858978271484,0.0014400000218302011,0.8452863693237305,0.43869876861572266,0.3846273422241211,True,local before background launch and D2H,local after ready ACK,1.3325819969177246,0.41992664337158203,1.2754640579223633
experiments/inferrelay_two_node/results/t1-pilot-03,B-A,2,opt-125m,1,1,768,gpu_h2d,1536,float16,5,steady,1.3297688961029053,0.1443520039319992,0.1730642318725586,0.0014400000218302011,0.8103804588317871,0.34632420539855957,0.5120387077331543,True,local before background launch and D2H,local after ready ACK,1.3297688961029053,0.542788028717041,1.363053798675537
experiments/inferrelay_two_node/results/t1-pilot-03,B-A,2,opt-125m,1,1,768,gpu_h2d,1536,float16,6,steady,1.2399892807006836,0.13808000087738037,0.16719937324523926,0.001408000010997057,0.7892160415649414,0.28357386589050293,0.4670262336730957,True,local before background launch and D2H,local after ready ACK,1.2399892807006836,0.4973769187927246,1.2960028648376465
experiments/inferrelay_two_node/results/t1-pilot-03,B-A,3,opt-125m,1,1,768,gpu_compute,1536,float16,0,first_transfer,0.6538991928100586,0.018592000007629395,0.16298484802246094,0.016256000846624374,0.08083295822143555,0.4100813865661621,0.6068148612976074,True,local before background launch and D2H,local after ready ACK,0.6538991928100586,0.6624908447265625,0.7521152496337891
experiments/inferrelay_two_node/results/t1-pilot-03,B-A,3,opt-125m,1,1,768,gpu_compute,1536,float16,1,warmup,0.3163418769836426,0.021215999498963356,0.04439496994018555,0.011744000017642975,0.03644514083862305,0.23550176620483398,0.28116941452026367,True,local before background launch and D2H,local after ready ACK,0.3163418769836426,0.30660581588745117,0.3476681709289551
experiments/inferrelay_two_node/results/t1-pilot-03,B-A,3,opt-125m,1,1,768,gpu_compute,1536,float16,2,warmup,0.19210195541381836,0.009375999681651592,0.027321815490722656,0.015904000028967857,0.0394740104675293,0.1253061294555664,0.12783002853393555,True,local before background launch and D2H,local after ready ACK,0.19210195541381836,0.14082050323486328,0.1847372055053711
experiments/inferrelay_two_node/results/t1-pilot-03,B-A,3,opt-125m,1,1,768,gpu_compute,1536,float16,3,warmup,0.18292498588562012,0.008352000266313553,0.025619983673095703,0.013151999562978745,0.034422874450683594,0.12288212776184082,0.12421131134033203,True,local before background launch and D2H,local after ready ACK,0.18292498588562012,0.13684892654418945,0.17554235458374023
experiments/inferrelay_two_node/results/t1-pilot-03,B-A,3,opt-125m,1,1,768,gpu_compute,1536,float16,4,steady,0.19170713424682617,0.007455999962985516,0.02445197105407715,0.011839999817311764,0.033397674560546875,0.13385748863220215,0.11831283569335938,True,local before background launch and D2H,local after ready ACK,0.19170713424682617,0.13134431838989258,0.17970705032348633
experiments/inferrelay_two_node/results/t1-pilot-03,B-A,3,opt-125m,1,1,768,gpu_compute,1536,float16,5,steady,0.25611305236816406,0.038015998899936676,0.061409950256347656,0.014271999709308147,0.03580522537231445,0.15889787673950195,0.19076108932495117,True,local before background launch and D2H,local after ready ACK,0.25611305236816406,0.2037029266357422,0.24880123138427734
experiments/inferrelay_two_node/results/t1-pilot-03,B-A,3,opt-125m,1,1,768,gpu_compute,1536,float16,6,steady,0.2447199821472168,0.03798399865627289,0.05835294723510742,0.010784000158309937,0.03461790084838867,0.1517491340637207,0.18379878997802734,True,local before background launch and D2H,local after ready ACK,0.2447199821472168,0.19646501541137695,0.23506927490234375
experiments/inferrelay_two_node/results/t1-pilot-03,B-A,4,opt-125m,1,32,768,cpu,49152,float16,0,first_transfer,0.77059006690979,0.0,0.0,0.0,0.0,0.77059006690979,0.738856315612793,True,local before background launch and D2H,local after ready ACK,0.77059006690979,0.766791820526123,0.7673249244689941
experiments/inferrelay_two_node/results/t1-pilot-03,B-A,4,opt-125m,1,32,768,cpu,49152,float16,1,warmup,0.36854076385498047,0.0,0.0,0.0,0.0,0.36854076385498047,0.3259162902832031,True,local before background launch and D2H,local after ready ACK,0.36854076385498047,0.3511204719543457,0.35172033309936523
experiments/inferrelay_two_node/results/t1-pilot-03,B-A,4,opt-125m,1,32,768,cpu,49152,float16,2,warmup,0.29747986793518066,0.0,0.0,0.0,0.0,0.29747986793518066,0.32811594009399414,True,local before background launch and D2H,local after ready ACK,0.29747986793518066,0.3514976501464844,0.35176801681518555
