direction,q,side,policy,phase,node,end,sample,warmup,correct,requested_delay_ms,local_activation_arrival_ms,activation_ack_ms,post_activation_weight_wait_ms,subsequent_compute_cuda_ms,finite_work_complete_ms,weight_bytes,weight_work_ms,activation_event_prepare_ms,activation_copy_call_ms,activation_post_call_submit_ms,activation_completion_wait_ms,activation_host_ms,activation_cuda_ms,activation_gpu_start_ms,activation_gpu_end_ms
A-B,1,sender,bulk,delay2,B,receiver,7,False,True,2,2.807443857192993,,0.0011131763458251953,0.993664026260376,4.243671894073486,0,0,0.1934661865234375,0.05865597724914551,0.03473401069641113,0.010891914367675781,0.2977480888366699,0.08928000181913376,3.0071680545806885,3.0964479446411133
A-B,1,sender,bulk,delay2,B,receiver,8,False,True,2,2.7775661945343018,,0.0009429454803466797,1.0516480207443237,4.290888071060181,0,0,0.2040541172027588,0.061096906661987305,0.03606724739074707,0.011181831359863281,0.31240010261535645,0.09228800237178802,2.9876480102539062,3.0799360275268555
A-B,1,sender,bulk,delay2,B,receiver,9,False,True,2,2.818794012069702,,0.0009479522705078125,0.9960319995880127,4.253756046295166,0,0,0.19271516799926758,0.05801081657409668,0.03502321243286133,0.010428905487060547,0.29617810249328613,0.08867199718952179,3.017983913421631,3.106656074523926
A-B,1,sender,bulk,delay2,B,receiver,10,False,True,2,2.83689284324646,,0.0008869171142578125,0.9919679760932922,4.272193908691406,0,0,0.19504785537719727,0.05787324905395508,0.03495907783508301,0.009903907775878906,0.29778409004211426,0.08857599645853043,3.0383999347686768,3.1269760131835938
A-B,1,sender,bulk,jitter,A,sender,1,False,True,2.3957101794265716,3.309464931488037,1.082545280456543,11.616494178771973,0.6254079937934875,16.676682949066162,201433088,15.78585958480835,0.0575098991394043,0.01777505874633789,0.01640176773071289,0.023379802703857422,0.1150665283203125,0.03142400085926056,3.3849918842315674,3.4164159297943115
A-B,1,sender,bulk,jitter,A,sender,2,False,True,7.203029265789611,8.130529880523682,1.031013011932373,7.042635440826416,0.526528000831604,16.7727313041687,201433088,15.856158256530762,0.05783510208129883,0.01779317855834961,0.016834259033203125,0.026627540588378906,0.11909008026123047,0.03200000151991844,8.206399917602539,8.23840045928955
A-B,1,sender,bulk,jitter,A,sender,3,False,True,4.436176117830095,5.321733474731445,1.1501803398132324,9.495914459228516,0.40700799226760864,16.406848907470703,201433088,15.772945880889893,0.040964603424072266,0.012337207794189453,0.007296085357666016,0.02726268768310547,0.0878605842590332,0.02035200037062168,5.381408214569092,5.401760101318359
A-B,1,sender,bulk,jitter,A,sender,4,False,True,4.240116441279871,5.094693183898926,1.014185905456543,9.865148067474365,0.40956801176071167,16.415661334991455,201433088,15.775336265563965,0.0406341552734375,0.012517929077148438,0.007245540618896484,0.02736043930053711,0.08775806427001953,0.020447999238967896,5.154176235198975,5.174623966217041
A-B,1,sender,bulk,jitter,A,sender,5,False,True,0.8222390575106155,1.6178889274597168,1.0303902626037598,13.356308937072754,0.4052160084247589,16.44197702407837,201433088,15.800395011901855,0.03682374954223633,0.011800765991210938,0.006980419158935547,0.028290271759033203,0.08389520645141602,0.02051199972629547,1.6729919910430908,1.693503975868225
A-B,1,sender,bulk,jitter,A,sender,6,False,True,1.3315972625924726,2.08563232421875,0.9849429130554199,12.897849082946777,0.4020799994468689,16.402674674987793,201433088,15.774566173553467,0.04026174545288086,0.012228965759277344,0.006961822509765625,0.011645793914794922,0.07109832763671875,0.01027199998497963,2.144256114959717,2.1545279026031494
A-B,1,sender,bulk,jitter,A,sender,7,False,True,1.5856361542226232,2.4162864685058594,1.007652759552002,12.556798934936523,0.4698239862918854,16.48283815383911,201433088,15.791050434112549,0.040665626525878906,0.012641429901123047,0.007206916809082031,0.027315139770507812,0.0878291130065918,0.020576000213623047,2.4765119552612305,2.4970879554748535
A-B,1,sender,bulk,jitter,A,sender,8,False,True,6.094678186674147,6.93006706237793,0.9938802719116211,8.048071384429932,0.43299201130867004,16.43698787689209,201433088,15.781294822692871,0.040287017822265625,0.012011051177978516,0.007099151611328125,0.027821063995361328,0.0872182846069336,0.020287999883294106,6.98908805847168,7.009376049041748
A-B,1,sender,bulk,jitter,A,sender,9,False,True,5.097854751644424,5.94209098815918,1.0144386291503906,9.017553806304932,0.42956799268722534,16.437549114227295,201433088,15.777362823486328,0.04003715515136719,0.012022018432617188,0.006958961486816406,0.027824878692626953,0.08684301376342773,0.020287999883294106,6.000703811645508,6.020991802215576
A-B,1,sender,bulk,jitter,A,sender,10,False,True,4.216921070466924,5.075953006744385,1.0642032623291016,9.841444969177246,0.42640000581741333,16.441747188568115,201433088,15.77851152420044,0.04050779342651367,0.011933326721191406,0.007285594940185547,0.027986526489257812,0.08771324157714844,0.020447999238967896,5.135039806365967,5.155488014221191
A-B,1,sender,bulk,jitter,B,receiver,1,False,True,2.3957101794265716,3.270897150039673,,0.0008149147033691406,0.9998400211334229,4.744035005569458,0,0,0.20158600807189941,0.0724947452545166,0.03614616394042969,0.011654138565063477,0.3218810558319092,0.10335999727249146,3.4811840057373047,3.5845439434051514
A-B,1,sender,bulk,jitter,B,receiver,2,False,True,7.203029265789611,8.120031118392944,,0.0008139610290527344,1.0486719608306885,9.640298128128052,0,0,0.19802594184875488,0.06171584129333496,0.0372471809387207,0.010794878005981445,0.307783842086792,0.09257599711418152,8.331520080566406,8.42409610748291
A-B,1,sender,bulk,jitter,B,receiver,3,False,True,4.436176117830095,5.230683088302612,,0.0009579658508300781,1.1225919723510742,6.9588541984558105,0,0,0.2007160186767578,0.13241100311279297,0.08708906173706055,0.011475086212158203,0.43169116973876953,0.21107199788093567,5.43782377243042,5.648896217346191
A-B,1,sender,bulk,jitter,B,receiver,4,False,True,4.240116441279871,5.055889129638672,,0.0008988380432128906,1.0173439979553223,6.526282072067261,0,0,0.19858098030090332,0.05896496772766113,0.037577152252197266,0.010561943054199219,0.30568504333496094,0.09136000275611877,5.2612481117248535,5.3526082038879395
A-B,1,sender,bulk,jitter,B,receiver,5,False,True,0.8222390575106155,1.570194959640503,,0.0008389949798583984,1.0077439546585083,3.0610086917877197,0,0,0.19708681106567383,0.061895132064819336,0.03879570960998535,0.010602235794067383,0.3083798885345459,0.09542399644851685,1.7737599611282349,1.8691840171813965
A-B,1,sender,bulk,jitter,B,receiver,6,False,True,1.3315972625924726,2.0658528804779053,,0.0007560253143310547,1.0177600383758545,3.5342907905578613,0,0,0.1954958438873291,0.06560611724853516,0.03473305702209473,0.01041102409362793,0.3062460422515869,0.09587199985980988,2.2680959701538086,2.3639678955078125
A-B,1,sender,bulk,jitter,B,receiver,7,False,True,1.5856361542226232,2.3874857425689697,,0.0008170604705810547,1.5106879472732544,4.362058877944946,0,0,0.20017385482788086,0.06127595901489258,0.03548288345336914,0.010692119598388672,0.30762481689453125,0.09225600212812424,2.5943360328674316,2.6865921020507812
A-B,1,sender,bulk,jitter,B,receiver,8,False,True,6.094678186674147,6.877236843109131,,0.0007991790771484375,1.3680000305175781,8.70145297050476,0,0,0.19350814819335938,0.059909820556640625,0.03437018394470215,0.0107879638671875,0.29857611656188965,0.08963199704885483,7.077343940734863,7.166975975036621
A-B,1,sender,bulk,jitter,B,receiver,9,False,True,5.097854751644424,5.8945159912109375,,0.0007488727569580078,1.011680006980896,7.374448776245117,0,0,0.1995680332183838,0.05892300605773926,0.03444385528564453,0.01079106330871582,0.3037259578704834,0.08860799670219421,6.1011199951171875,6.189727783203125
A-B,1,sender,bulk,jitter,B,receiver,10,False,True,4.216921070466924,5.009612083435059,,0.0006709098815917969,1.231711983680725,6.765860080718994,0,0,0.2244558334350586,0.07994914054870605,0.04038381576538086,0.018624305725097656,0.36341309547424316,0.11558400094509125,5.240511894226074,5.356095790863037
A-B,1,sender,chunk,zero,A,sender,1,False,True,0,0.7504448890686035,0.9164166450500488,15.508412837982178,0.709663987159729,17.92632532119751,201433088,16.79579210281372,0.03719949722290039,0.011872291564941406,0.0066814422607421875,0.028680801391601562,0.08443403244018555,0.02051199972629547,0.8062719702720642,0.8267840147018433
