direction,q,side,policy,phase,n,activation_p50_ms,activation_p95_ms,sender_finite_work_complete_ms,sender_post_activation_weight_wait_ms,sender_weight_work_ms,sender_subsequent_compute_cuda_ms,sender_local_activation_arrival_ms,sender_activation_event_prepare_ms,sender_activation_copy_call_ms,sender_activation_post_call_submit_ms,sender_activation_completion_wait_ms,sender_activation_cuda_ms,sender_weight_bytes,sender_weight_GBps,receiver_finite_work_complete_ms,receiver_post_activation_weight_wait_ms,receiver_weight_work_ms,receiver_subsequent_compute_cuda_ms,receiver_local_activation_arrival_ms,receiver_activation_event_prepare_ms,receiver_activation_copy_call_ms,receiver_activation_post_call_submit_ms,receiver_activation_completion_wait_ms,receiver_activation_cuda_ms,receiver_weight_bytes,receiver_weight_GBps,activation_ratio_vs_bulk,sender_finite_work_ratio_vs_bulk,sender_weight_bandwidth_ratio_vs_bulk,receiver_finite_work_ratio_vs_bulk,receiver_weight_bandwidth_ratio_vs_bulk
A-B,128,sender,priority,zero,10,2.469874858856201,2.509754252433777,18.02254581451416,13.975144147872925,16.86570429801941,0.8001759946346283,0.7063872814178467,0.03690648078918457,0.011655092239379883,0.006580829620361328,0.0644989013671875,0.05536000058054924,201433088,11.943402885330983,3.9489285945892334,0.0007766485214233398,0.0,1.2540160417556763,2.2447335720062256,0.18208849430084229,0.06270039081573486,0.033193349838256836,0.011318564414978027,0.09123200178146362,0,,0.9570720268483336,1.0655250965420222,0.93984364556027,0.9476784505432413,
A-B,128,sender,priority,delay2,10,2.549456834793091,2.633618307113647,17.939384698867798,11.81614637374878,16.845986127853394,0.7639039754867554,2.7872109413146973,0.05336356163024902,0.015651702880859375,0.016331911087036133,0.050664663314819336,0.05643199943006039,201433088,11.957335883009051,6.119304418563843,0.0008280277252197266,0.0,1.2656800150871277,4.376582980155945,0.18390297889709473,0.06496715545654297,0.033884525299072266,0.011790990829467773,0.09403200075030327,0,,0.9851348987166766,1.065645985775427,0.9391823224918338,0.9920081539841772,
A-B,128,sender,priority,jitter,10,2.510230302810669,2.579000949859619,17.968295335769653,11.111863851547241,16.85199284553528,0.7448639869689941,3.622796058654785,0.043974876403808594,0.012676715850830078,0.014631986618041992,0.04991507530212402,0.05580800026655197,201433088,11.953291326368142,6.929660081863403,0.0007671117782592773,0.0,1.2550239562988281,5.2035499811172485,0.18245697021484375,0.06256997585296631,0.0328524112701416,0.01177823543548584,0.0936960019171238,0,,0.9932044155168142,1.086289312219219,0.9374508382355909,0.9779339797432607,
A-B,128,receiver,bulk,zero,10,8.508059978485107,8.558622217178344,10.248035430908203,0.0008919239044189453,0.0,1.2361119985580444,0.3528609275817871,0.1808774471282959,0.05704689025878906,0.033411264419555664,0.012357950210571289,0.09001599997282028,0,,9.124419927597046,0.001352548599243164,8.447932481765747,0.49268800020217896,2.580980658531189,0.035747528076171875,0.01203012466430664,0.006473422050476074,5.96211040019989,0.02214400004595518,201433088,23.844069357427014,1.0,1.0,,1.0,1.0
A-B,128,receiver,bulk,delay2,10,6.379093408584595,6.407059979438782,10.253316164016724,0.0008871555328369141,0.0,1.208847999572754,2.5147690773010254,0.21336936950683594,0.05970644950866699,0.03509378433227539,0.011336088180541992,0.09321599826216698,0,,9.157103419303894,0.0015097856521606445,8.459301948547363,0.4972800016403198,4.759955167770386,0.0379948616027832,0.012274503707885742,0.006939053535461426,3.771340489387512,0.021824000403285027,201433088,23.812022494942426,1.0,1.0,,1.0,1.0
A-B,128,receiver,bulk,jitter,10,2.950690269470215,6.711641621589659,10.513228178024292,0.0008897781372070312,0.0,1.2232159972190857,6.164016485214233,0.19724297523498535,0.05688953399658203,0.03435564041137695,0.010965824127197266,0.08975999802350998,0,,9.42647898197174,0.001381516456604004,8.456449031829834,0.4874560087919235,8.436025381088257,0.036860108375549316,0.012026548385620117,0.0070149898529052734,0.2680990695953369,0.0261439997702837,201433088,23.82005601308744,1.0,1.0,,1.0,1.0
A-B,128,receiver,chunk,zero,10,2.612250566482544,3.404045033454894,4.397245407104492,0.0008549690246582031,0.0,1.226032018661499,0.3869814872741699,0.17768597602844238,0.05825448036193848,0.032797813415527344,0.01119542121887207,0.08716800063848495,0,,10.189027070999146,6.882182359695435,9.446864008903503,0.5145279765129089,2.573648452758789,0.03675055503845215,0.012091517448425293,0.006803035736083984,0.24751436710357666,0.0220320001244545,201433088,21.322756358432198,0.30703245782097377,0.429081791993258,,1.1166766930774599,0.8942582760853499
A-B,128,receiver,chunk,delay2,10,2.643218994140625,2.7936280488967893,6.556129455566406,0.0009114742279052734,0.0,1.2612959742546082,2.5130319595336914,0.1959378719329834,0.05881047248840332,0.03430652618408203,0.012206792831420898,0.091024000197649,0,,10.153183937072754,4.701124548912048,9.413862705230713,0.5205280184745789,4.712913155555725,0.03779792785644531,0.012426018714904785,0.00698244571685791,0.045600056648254395,0.022592000663280487,201433088,21.397495962053203,0.41435652761935454,0.6394155169597395,,1.1087768120723682,0.8986005269648112
A-B,128,receiver,chunk,jitter,10,2.6497175693511963,2.963399648666382,9.572065353393555,0.0008633136749267578,0.0,1.2349439859390259,5.501031160354614,0.1943831443786621,0.05747103691101074,0.034659624099731445,0.011082887649536133,0.08980799838900566,0,,10.230022072792053,1.7182036638259888,9.483218550682068,0.5089119970798492,7.746292948722839,0.037085533142089844,0.011772990226745605,0.006768941879272461,0.09340357780456543,0.02454400062561035,201433088,21.241042417498672,0.8979992230180577,0.9104782271730731,,1.0852431849004383,0.891729322795388
A-B,128,receiver,window2,zero,10,3.1037416458129883,3.2550428867340084,4.86540412902832,0.0008795261383056641,0.0,1.2152480483055115,0.383866548538208,0.18150639533996582,0.0550692081451416,0.03386878967285156,0.011922359466552734,0.08747200295329094,0,,9.613802075386047,5.826951026916504,8.876214861869812,0.5041439831256866,2.5948771238327026,0.03673708438873291,0.011566877365112305,0.006587624549865723,0.5650906562805176,0.022304000332951546,201433088,22.693580180884183,0.36480016051386854,0.4747645694465693,,1.0536343298173785,0.9517494619187361
A-B,128,receiver,window2,delay2,10,2.798168420791626,2.91246976852417,6.682588577270508,0.0009009838104248047,0.0,1.230720043182373,2.502241373062134,0.20570635795593262,0.059909820556640625,0.03516197204589844,0.011531352996826172,0.09225599840283394,0,,9.592033386230469,3.9938353300094604,8.888376116752625,0.503600001335144,4.766107082366943,0.036637306213378906,0.012110114097595215,0.0067899227142333984,0.19904589653015137,0.021808000281453133,201433088,22.662533499838258,0.4386467232202654,0.651749002017764,,1.0474964567954652,0.951726528254863
