run,direction,case,model,batch,q,hidden,mode,bytes,dtype,sample,phase,e2e_ack_ms,d2h_cuda_ms,d2h_host_ms,h2d_cuda_ms,h2d_host_ms,network_host_ack_residual_ms,receiver_receive_host_ms,correct,sender_origin,receiver_origin,sender_completion_relative_ms,receiver_staging_start_relative_ms,receiver_completion_relative_ms
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,2,opt-125m,1,1,768,gpu_h2d,1536,float16,5,steady,0.8565196990966797,0.008191999979317188,0.026500225067138672,0.0013760000001639128,0.546212911605835,0.28380656242370605,0.25613975524902344,True,local before background launch and D2H,local after ready ACK,0.8565196990966797,0.2915680408477783,0.8475279808044434
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,2,opt-125m,1,1,768,gpu_h2d,1536,float16,6,steady,0.7911334037780762,0.008031999692320824,0.026490211486816406,0.0013439999893307686,0.4894089698791504,0.2752342224121094,0.2486121654510498,True,local before background launch and D2H,local after ready ACK,0.7911334037780762,0.2790060043334961,0.7777969837188721
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,2,opt-125m,1,1,768,gpu_h2d,1536,float16,7,steady,0.8234810829162598,0.007615999784320593,0.025078773498535156,0.001408000010997057,0.5644509792327881,0.23395133018493652,0.23566269874572754,True,local before background launch and D2H,local after ready ACK,0.8234810829162598,0.2663919925689697,0.840723991394043
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,2,opt-125m,1,1,768,gpu_h2d,1536,float16,8,steady,0.8588786125183105,0.007807999849319458,0.028007030487060547,0.0013760000001639128,0.6370220184326172,0.1938495635986328,0.16495704650878906,True,local before background launch and D2H,local after ready ACK,0.8588786125183105,0.19571375846862793,0.8424587249755859
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,2,opt-125m,1,1,768,gpu_h2d,1536,float16,9,steady,0.8561081886291504,0.015039999969303608,0.04282569885253906,0.0013760000001639128,0.5412490367889404,0.2720334529876709,0.252471923828125,True,local before background launch and D2H,local after ready ACK,0.8561081886291504,0.2827138900756836,0.8338041305541992
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,2,opt-125m,1,1,768,gpu_h2d,1536,float16,10,steady,0.8583545684814453,0.01548799965530634,0.03917503356933594,0.0013760000001639128,0.4612579345703125,0.3579216003417969,0.3332328796386719,True,local before background launch and D2H,local after ready ACK,0.8583545684814453,0.36356210708618164,0.8345129489898682
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,2,opt-125m,1,1,768,gpu_h2d,1536,float16,11,steady,0.8566532135009766,0.014879999682307243,0.03764629364013672,0.0013760000001639128,0.5416700839996338,0.27733683586120605,0.25339627265930176,True,local before background launch and D2H,local after ready ACK,0.8566532135009766,0.2837817668914795,0.8351428508758545
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,2,opt-125m,1,1,768,gpu_h2d,1536,float16,12,steady,0.8519697189331055,0.014976000413298607,0.03792285919189453,0.0013760000001639128,0.5466039180755615,0.2674429416656494,0.24805903434753418,True,local before background launch and D2H,local after ready ACK,0.8519697189331055,0.2784392833709717,0.8348302841186523
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,2,opt-125m,1,1,768,gpu_h2d,1536,float16,13,steady,0.8435921669006348,0.015135999768972397,0.13343477249145508,0.0013760000001639128,0.4411020278930664,0.2690553665161133,0.3529939651489258,True,local before background launch and D2H,local after ready ACK,0.8435921669006348,0.3835868835449219,0.8344318866729736
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,2,opt-125m,1,1,768,gpu_h2d,1536,float16,14,steady,0.8008499145507812,0.011359999887645245,0.033013343811035156,0.0013760000001639128,0.5126030445098877,0.2552335262298584,0.17565584182739258,True,local before background launch and D2H,local after ready ACK,0.8008499145507812,0.20601296424865723,0.7281079292297363
