run,direction,case,model,batch,q,hidden,mode,bytes,n,correct,sender_setup_ms,receiver_setup_ms,first_transfer_e2e_ms,sender_background_alone_cuda_p50_ms,receiver_background_alone_cuda_p50_ms,e2e_ack_ms_p50,e2e_ack_ms_p95,d2h_cuda_ms_p50,d2h_cuda_ms_p95,d2h_host_ms_p50,d2h_host_ms_p95,h2d_cuda_ms_p50,h2d_cuda_ms_p95,h2d_host_ms_p50,h2d_host_ms_p95,network_host_ack_residual_ms_p50,network_host_ack_residual_ms_p95,sender_background_jobs,receiver_background_jobs,sender_background_slowdown,receiver_background_slowdown,samples_with_d2h_gpu_overlap,samples_with_h2d_gpu_overlap,e2e_slowdown_vs_gpu,d2h_slowdown_vs_gpu,h2d_slowdown_vs_gpu
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,10,opt-125m,1,128,768,gpu_h2d,196608,20,True,27.012619972229004,15.109358072280884,1.691338062286377,1.1195679903030396,0.601535975933075,1.311584711074829,1.3834629297256469,0.020464000292122364,0.02393919974565506,0.05997109413146973,0.1430832624435425,0.009375999681651592,0.009440000168979168,0.3938513994216919,0.4653322458267212,0.8728493452072144,0.953842282295227,40,60,1.010675531167849,1.0061177065345872,0,0,1.5353396737575706,1.1723190076505996,0.9528455004460458
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,11,opt-125m,1,128,768,gpu_compute,196608,20,True,5.725337982177734,5.804983854293823,1.2360115051269531,0.1717280000448227,0.17559999972581863,0.9209117889404297,1.026297378540039,0.03920000046491623,0.04254399947822094,0.058145999908447266,0.1051684379577637,0.014431999996304512,0.03635360077023506,0.052910447120666504,0.05866570472717285,0.8106304407119751,0.8883460640907288,101,98,1.001770233097901,1.081366747065899,20,19,1.0780183648470671,2.245646256300339,1.4666666729764402
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,12,opt-125m,1,256,768,cpu,393216,20,True,0.6256213188171387,0.7097089290618896,1.5246152877807617,,,1.4822471141815186,1.6486043691635133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4822471141815186,1.6486043691635133,0,0,,,0,0,,,
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,13,opt-125m,1,256,768,gpu,393216,20,True,0.7367215156555176,0.7467350959777832,1.7144370079040527,,,1.586439609527588,1.6165805339813233,0.032975999638438225,0.03465919941663742,0.05918765068054199,0.06525020599365235,0.019840000197291374,0.021380800474435097,0.037106990814208984,0.041550934314727804,1.4898780584335327,1.51176460981369,0,0,,,0,0,1.0,1.0,1.0
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,14,opt-125m,1,256,768,gpu_h2d,393216,20,True,27.276724338531494,15.215054035186768,2.290281295776367,1.1207520365715027,0.6015040278434753,2.0143706798553467,2.0830966949462892,0.04209599830210209,0.14571200162172318,0.0908205509185791,0.18640003204345704,0.01692800037562847,0.01708959974348545,0.3598663806915283,0.476458466053009,1.4982988834381104,1.614130401611328,40,80,1.0069810300950923,1.0091237601152567,8,0,1.2697430571940829,1.2765647368892254,0.8532258168999182
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,15,opt-125m,1,256,768,gpu_compute,393216,20,True,6.780806064605713,6.608982801437378,1.8829288482666016,0.20414400100708008,0.1977439969778061,1.6919522285461426,1.7155128240585327,0.0395359992980957,0.04548319987952711,0.10861420631408691,0.12001297473907471,0.022463999688625336,0.033191999420523643,0.043985605239868164,0.059592247009277344,1.5386803150177002,1.5629429578781129,146,160,0.9995297401318786,1.031879619076326,17,20,1.0665090674645814,1.1989325488714182,1.1322580375625297
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,16,opt-125m,4,1,768,cpu,6144,20,True,0.2605719566345215,0.24888396263122559,0.2543177604675293,,,0.10896730422973633,0.12676560878753662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10896730422973633,0.12676560878753662,0,0,,,0,0,,,
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,17,opt-125m,4,1,768,gpu,6144,20,True,0.2631087303161621,0.2809598445892334,0.6155686378479004,,,0.1685338020324707,0.17153890132904054,0.006399999838322401,0.007008000020869077,0.020833969116210938,0.022355055809020995,0.006912000011652708,0.007393599953502417,0.0223008394241333,0.023105478286743163,0.12484455108642578,0.12740107774734497,0,0,,,0,0,1.0,1.0,1.0
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,18,opt-125m,4,1,768,gpu_h2d,6144,20,True,27.43168306350708,15.482476949691772,0.5128622055053711,1.1198400259017944,0.6015679836273193,0.8395826816558838,0.883287787437439,0.008975999895483255,0.04065279942005877,0.03712582588195801,0.18195617198944092,0.0016959999920800328,0.0017296000034548343,0.5509350299835205,0.6305252313613892,0.24415087699890137,0.34711953401565554,20,39,1.0093013028988282,1.0162243045325325,5,0,4.981687183999592,1.4025000190993893,0.24537036881088015
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,19,opt-125m,4,1,768,gpu_compute,6144,20,True,4.834228992462158,4.7464399337768555,1.0331954956054688,0.12435200065374374,0.12353600189089775,0.2535686492919922,0.3716315507888794,0.033983999863266945,0.03901759926229717,0.05276346206665039,0.060682153701782246,0.012463999912142754,0.02698880061507227,0.03533482551574707,0.10938163995742797,0.15432167053222656,0.23491829633712769,43,40,1.0684508308237333,1.165522561849917,20,20,1.5045566303852693,5.310000112777346,1.8032407249898894
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,20,opt-125m,4,32,768,cpu,196608,20,True,0.47810792922973633,0.4936959743499756,0.885383129119873,,,0.7727756500244141,0.8616844177246094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7727756500244141,0.8616844177246094,0,0,,,0,0,,,
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,21,opt-125m,4,32,768,gpu,196608,20,True,0.5422544479370117,0.5111591815948486,0.9772987365722656,,,0.8656933307647705,0.9720928192138673,0.018751999363303185,0.02415679953992367,0.0385282039642334,0.05882308483123779,0.009743999689817429,0.010969600407406688,0.027181506156921387,0.027859723567962645,0.8004786968231201,0.8894926190376282,0,0,,,0,0,1.0,1.0,1.0
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,22,opt-125m,4,32,768,gpu_h2d,196608,20,True,27.268970012664795,15.024344205856323,1.3087778091430664,1.120959997177124,0.6014240086078644,1.391103982925415,1.4146751642227173,0.033375998958945274,0.13699679970741271,0.14667177200317383,0.1688394784927368,0.009375999681651592,0.009472000412642956,0.3461461067199707,0.5470826745033264,0.8868544101715088,0.9364301204681397,37,60,1.0093063132982973,1.0102423430687169,9,0,1.6069246850919903,1.7798634861443412,0.9622331670894448
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,23,opt-125m,4,32,768,gpu_compute,196608,20,True,6.144144058227539,6.078187942504883,1.1080513000488281,0.18247999995946884,0.18327999860048294,0.9159655570983887,0.9612330436706543,0.03948800079524517,0.04373920038342476,0.056716203689575195,0.06200952529907227,0.01896000001579523,0.031873599067330366,0.04332137107849121,0.08993088006973267,0.8172568082809448,0.8392354369163513,90,80,1.0329680025572379,1.0886075995678761,11,20,1.0580716340845628,2.1058021616895637,1.945812871444219
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,24,opt-125m,4,128,768,cpu,786432,20,True,0.8879361152648926,1.1227390766143799,2.8954591751098633,,,2.795666456222534,3.0957468032836912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.795666456222534,3.0957468032836912,0,0,,,0,0,,,
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,25,opt-125m,4,128,768,gpu,786432,20,True,0.9957213401794434,1.091482162475586,3.1172890663146973,,,3.0045197010040283,3.1313809394836425,0.06268800050020218,0.07707039751112461,0.08615469932556152,0.119533109664917,0.03456000052392483,0.03833119831979275,0.05435001850128174,0.06457695960998536,2.8407771587371826,2.9661343455314637,0,0,,,0,0,1.0,1.0,1.0
